GLOBALEVENTID,SQLDATE,Actor1Name,AvgTone
749380331,20180420,MICROSOFT,-2.762430939
749272276,20180420,STARBUCKS,-2.758132956
749272273,20180420,STARBUCKS,-2.758132956
749298647,20180420,XEROX,-2.755905512
749298648,20180420,XEROX,-2.755905512
749258911,20180420,BOEING,-2.750665484
749476341,20180420,STARBUCKS,-2.750491159
749476340,20180420,STARBUCKS,-2.750491159
749207499,20180420,STARBUCKS,-2.737226277
749207491,20180420,STARBUCKS,-2.737226277
749207512,20180420,STARBUCKS,-2.737226277
749207497,20180420,STARBUCKS,-2.737226277
749222785,20180420,STARBUCKS,-2.712348323
749222780,20180420,STARBUCKS,-2.712348323
749222784,20180420,STARBUCKS,-2.712348323
749222779,20180420,STARBUCKS,-2.712348323
749234602,20180420,SOUTHWEST AIRLINES,-2.682926829
749485630,20180420,WELLS FARGO,-2.671755725
749485632,20180420,WELLS FARGO,-2.671755725
749207506,20180420,STARBUCKS,-2.659574468
749207505,20180420,STARBUCKS,-2.659574468
749501178,20180420,SOUTHWEST AIRLINES,-2.650811567
749431633,20180420,STARBUCKS,-2.641232575
749239290,20180420,BOEING,-2.621722846
749354045,20180420,SOUTHWEST AIRLINES,-2.614379085
749227191,20180420,FORD MOTOR,-2.612481858
749227195,20180420,ABBOTT LABORATORIES,-2.612481858
749236062,20180420,STARBUCKS,-2.602230483
749227201,20180420,GOOGLE,-2.586206897
749227200,20180420,GOOGLE,-2.586206897
749277670,20180420,GOOGLE,-2.541436464
749457968,20180420,BOEING,-2.534854246
749457969,20180420,BOEING,-2.534854246
749467028,20180420,GOOGLE,-2.532286655
749467034,20180420,GOOGLE,-2.532286655
749288866,20180420,MICROSOFT,-2.5
749288865,20180420,MICROSOFT,-2.5
749288867,20180420,MICROSOFT,-2.5
749501179,20180420,STARBUCKS,-2.495201536
749349840,20180420,STARBUCKS,-2.489270386
749322415,20180420,SOUTHWEST AIRLINES,-2.486402486
749318196,20180420,GOOGLE,-2.463549522
749280502,20180420,NETFLIX,-2.461538462
749280505,20180420,NETFLIX,-2.461538462
749314048,20180420,QUALCOMM,-2.460850112
749326756,20180420,BOEING,-2.443991853
749501182,20180420,MICROSOFT,-2.434077079
749237919,20180420,GOOGLE,-2.413793103
749435553,20180420,SOUTHWEST AIRLINES,-2.389705882
749392718,20180420,QUALCOMM,-2.375296912
749474582,20180420,WELLS FARGO,-2.368421053
749412629,20180420,STARBUCKS,-2.358490566
749412628,20180420,STARBUCKS,-2.358490566
749351889,20180420,QUALCOMM,-2.34375
749256057,20180420,XEROX,-2.325581395
749256058,20180420,XEROX,-2.325581395
749346202,20180420,MICROSOFT,-2.325581395
749318189,20180420,GOOGLE,-2.32303392
749318198,20180420,GOOGLE,-2.32303392
749427876,20180420,WELLS FARGO,-2.306079665
749427870,20180420,WELLS FARGO,-2.306079665
749427875,20180420,WELLS FARGO,-2.306079665
749427882,20180420,WELLS FARGO,-2.306079665
749427877,20180420,WELLS FARGO,-2.306079665
749427883,20180420,WELLS FARGO,-2.306079665
749427881,20180420,WELLS FARGO,-2.306079665
749247273,20180420,APPLE INC,-2.280701754
749365267,20180420,STARBUCKS,-2.279069767
749365266,20180420,STARBUCKS,-2.279069767
749380341,20180420,GOOGLE,-2.276559865
749435541,20180420,STARBUCKS,-2.27027027
749285907,20180420,MONSANTO,-2.263374486
749247275,20180420,BON TON STORES,-2.255639098
749247282,20180420,BON TON STORES,-2.255639098
749250478,20180420,SOUTHWEST AIRLINES,-2.247191011
749250477,20180420,SOUTHWEST AIRLINES,-2.247191011
749250469,20180420,SOUTHWEST AIRLINES,-2.247191011
749250470,20180420,SOUTHWEST AIRLINES,-2.247191011
749450929,20180420,LAMAR ADVERTISING COMPANY,-2.247191011
749450930,20180420,LAMAR ADVERTISING COMPANY,-2.247191011
749272278,20180420,WELLS FARGO,-2.244897959
749326761,20180420,GOOGLE,-2.23880597
749365275,20180420,GOOGLE,-2.23880597
749234606,20180420,COMCAST,-2.228976697
749234605,20180420,COMCAST,-2.228976697
749234612,20180420,COMCAST,-2.228976697
749424193,20180420,GOOGLE,-2.226720648
749424192,20180420,VERIZON,-2.226720648
749261869,20180420,LOCKHEED MARTIN,-2.220324509
749261868,20180420,LOCKHEED MARTIN,-2.220324509
749222767,20180420,EXXON,-2.188940092
749355993,20180420,MORGAN STANLEY,-2.162162162
749431636,20180420,PHILIP MORRIS,-2.158273381
749485637,20180420,PFIZER,-2.150537634
749485636,20180420,PFIZER,-2.150537634
749485635,20180420,PFIZER,-2.150537634
749485638,20180420,PFIZER,-2.150537634
749485640,20180420,PFIZER,-2.150537634
749485639,20180420,PFIZER,-2.150537634
749282628,20180420,STARBUCKS,-2.143950995
749424190,20180420,SOUTHWEST AIRLINES,-2.123552124
749424189,20180420,SOUTHWEST AIRLINES,-2.123552124
749224998,20180420,BOEING,-2.076677316
749380332,20180420,MATTEL,-2.06733609
